seq,ts,run,model,status,prompt_tokens,completion_tokens,reasoning_tokens,reasoning_estimated,usage_estimated,finish_reason,cached_tokens,latency_ms,in_per_m,out_per_m,price_source,cost_usd
1,1788956107.8982432,run1-think-on,nemotron-3-nano:30b,200,34,115,40,1,0,stop,0,7901.4,0.06,0.24,forecast,2.9639999999999997e-05
2,1788956109.615247,run1-think-on,nemotron-3-nano:30b,200,38,79,27,1,0,stop,0,9634.5,0.06,0.24,forecast,2.1240000000000003e-05
3,1788956117.1260748,run1-think-on,nemotron-3-nano:30b,200,38,394,399,1,0,stop,0,9211.9,0.06,0.24,forecast,9.684e-05
4,1788956122.057747,run1-think-on,nemotron-3-nano:30b,200,35,256,205,1,0,stop,0,12440.1,0.06,0.24,forecast,6.354e-05
5,1788956124.083704,run1-think-on,nemotron-3-nano:30b,200,39,96,60,1,0,stop,0,6955.4,0.06,0.24,forecast,2.5379999999999998e-05
6,1788956132.7405398,run1-think-on,nemotron-3-nano:30b,200,35,460,495,1,0,stop,0,10680.7,0.06,0.24,forecast,0.00011249999999999998
7,1788956139.102313,run1-think-on,nemotron-3-nano:30b,200,38,338,393,1,0,stop,34,15016.3,0.06,0.24,forecast,8.34e-05
8,1788956153.31498,run1-think-on,nemotron-3-nano:30b,200,35,763,881,1,0,stop,0,20572.2,0.06,0.24,forecast,0.00018522
9,1788956158.1464598,run1-think-on,nemotron-3-nano:30b,200,38,248,280,1,0,stop,0,19040.5,0.06,0.24,forecast,6.18e-05
10,1788956160.145844,run1-think-on,nemotron-3-nano:30b,200,36,90,40,1,0,stop,0,6828.0,0.06,0.24,forecast,2.376e-05
11,1788956166.396658,run1-think-on,nemotron-3-nano:30b,200,35,327,255,1,0,stop,0,8248.0,0.06,0.24,forecast,8.058e-05
12,1788956169.3077068,run1-think-on,nemotron-3-nano:30b,200,35,147,110,1,0,stop,0,9157.6,0.06,0.24,forecast,3.7380000000000005e-05
13,1788956175.274529,run1-think-on,nemotron-3-nano:30b,200,35,322,359,1,0,stop,31,8875.5,0.06,0.24,forecast,7.937999999999999e-05
14,1788956176.953593,run1-think-on,nemotron-3-nano:30b,200,38,77,51,1,0,stop,0,7643.6,0.06,0.24,forecast,2.076e-05
15,1788956188.210065,run1-think-on,nemotron-3-nano:30b,200,35,602,643,1,0,stop,0,12933.4,0.06,0.24,forecast,0.00014658
16,1788956194.325147,run1-think-on,nemotron-3-nano:30b,200,35,330,369,1,0,stop,31,17368.6,0.06,0.24,forecast,8.13e-05
17,1788956201.621803,run1-think-on,nemotron-3-nano:30b,200,35,390,452,1,0,stop,31,13408.7,0.06,0.24,forecast,9.57e-05
18,1788956225.2612789,run1-think-on,nemotron-3-nano:30b,200,33,1243,1625,1,0,stop,0,30933.3,0.06,0.24,forecast,0.00030030000000000004
19,1788956230.8333929,run1-think-on,nemotron-3-nano:30b,200,36,286,288,1,0,stop,32,29207.9,0.06,0.24,forecast,7.08e-05
20,1788956232.707654,run1-think-on,nemotron-3-nano:30b,200,38,87,19,1,0,stop,0,7439.6,0.06,0.24,forecast,2.316e-05
21,1788956235.7622101,run1-think-on,nemotron-3-nano:30b,200,37,152,110,1,0,stop,0,4926.0,0.06,0.24,forecast,3.87e-05
22,1788956242.425812,run1-think-on,nemotron-3-nano:30b,200,38,348,363,1,0,stop,0,9716.1,0.06,0.24,forecast,8.58e-05
23,1788956246.0486872,run1-think-on,nemotron-3-nano:30b,200,33,180,180,1,0,stop,0,10284.3,0.06,0.24,forecast,4.517999999999999e-05
24,1788956248.5553129,run1-think-on,nemotron-3-nano:30b,200,34,116,72,1,0,stop,0,6127.1,0.06,0.24,forecast,2.988e-05
25,1788956251.184353,run1-think-on,nemotron-3-nano:30b,200,37,124,96,1,0,stop,0,5132.6,0.06,0.24,forecast,3.1979999999999995e-05
26,1788956253.941634,run1-think-on,nemotron-3-nano:30b,200,33,138,181,1,0,stop,0,5383.1,0.06,0.24,forecast,3.509999999999999e-05
27,1788956255.6975071,run1-think-on,nemotron-3-nano:30b,200,38,92,59,1,0,stop,34,4511.1,0.06,0.24,forecast,2.436e-05
28,1788956260.666825,run1-think-on,nemotron-3-nano:30b,200,35,259,241,1,0,stop,0,6722.8,0.06,0.24,forecast,6.425999999999998e-05
29,1788956263.100968,run1-think-on,nemotron-3-nano:30b,200,38,118,80,1,0,stop,0,7401.1,0.06,0.24,forecast,3.06e-05
30,1788956270.585731,run1-think-on,nemotron-3-nano:30b,200,38,405,413,1,0,stop,34,9916.4,0.06,0.24,forecast,9.948e-05
31,1788956273.098769,run1-think-on,nemotron-3-nano:30b,200,38,135,92,1,0,stop,34,9995.6,0.06,0.24,forecast,3.468e-05
32,1788956274.976028,run1-think-on,nemotron-3-nano:30b,200,37,88,44,1,0,stop,0,4387.6,0.06,0.24,forecast,2.3339999999999997e-05
33,1788956278.1569972,run1-think-on,nemotron-3-nano:30b,200,38,159,126,1,0,stop,0,5055.7,0.06,0.24,forecast,4.044e-05
34,1788956334.543647,run1-think-on,nemotron-3-nano:30b,200,36,3033,2072,1,0,stop,0,59562.8,0.06,0.24,forecast,0.0007300799999999999
35,1788956336.6134279,run1-think-on,nemotron-3-nano:30b,200,39,109,55,1,0,stop,35,58454.1,0.06,0.24,forecast,2.85e-05
36,1788956339.358529,run1-think-on,nemotron-3-nano:30b,200,35,137,70,1,0,stop,0,4812.2,0.06,0.24,forecast,3.4979999999999994e-05
37,1788956341.161192,run1-think-on,nemotron-3-nano:30b,200,37,96,47,1,0,stop,33,4542.8,0.06,0.24,forecast,2.526e-05
