seq,ts,phase,model,status,prompt_tokens,completion_tokens,reasoning_tokens,reasoning_estimated,finish_reason,latency_ms,cost_usd
1,1788968572.701686,A-think-on-default,nemotron-3-nano:30b,200,42,433,433,1,stop,16333.1,0.00010644
2,1788968576.00126,A-think-on-default,nemotron-3-nano:30b,200,41,163,111,1,stop,19635.6,4.158e-05
3,1788968586.552372,A-think-on-default,nemotron-3-nano:30b,200,42,553,553,1,stop,30197.5,0.00013524
4,1788968637.314812,A-think-on-default,nemotron-3-nano:30b,200,49,2701,2701,1,stop,80948.2,0.00065118
5,1788968648.681317,A-think-on-default,nemotron-3-nano:30b,200,45,582,582,1,stop,75967.6,0.00014238
6,1788968651.5909288,A-think-on-default,nemotron-3-nano:30b,200,47,141,66,1,stop,75587.3,3.666e-05
7,1788968654.9544399,A-think-on-default,nemotron-3-nano:30b,200,46,168,149,1,stop,68399.6,4.308e-05
8,1788968658.3186822,A-think-on-default,nemotron-3-nano:30b,200,41,168,129,1,stop,21000.1,4.278e-05
9,1788968660.8084102,A-think-on-default,nemotron-3-nano:30b,200,49,120,84,1,stop,12124.0,3.174e-05
10,1788968667.309984,A-think-on-default,nemotron-3-nano:30b,200,48,337,337,1,stop,15717.5,8.376e-05
11,1788968676.019138,A-think-on-default,nemotron-3-nano:30b,200,41,458,403,1,stop,21063.0,0.00011237999999999999
12,1788968693.914391,A-think-on-default,nemotron-3-nano:30b,200,42,951,946,1,stop,35593.5,0.00023076
13,1788968696.745974,A-think-on-default,nemotron-3-nano:30b,200,39,139,80,1,stop,35935.6,3.57e-05
14,1788968771.194892,A-think-on-default,nemotron-3-nano:30b,200,41,4000,4000,1,length,103881.2,0.00096246
15,1788968773.5760572,A-think-on-default,nemotron-3-nano:30b,200,40,115,87,1,stop,97555.3,2.9999999999999997e-05
16,1788968775.112849,A-think-on-default,nemotron-3-nano:30b,200,41,69,27,1,stop,81196.3,1.902e-05
17,1788968779.266782,A-think-on-default,nemotron-3-nano:30b,200,39,212,141,1,stop,82518.7,5.322e-05
18,1788968782.365616,A-think-on-default,nemotron-3-nano:30b,200,41,154,122,1,stop,11168.3,3.942e-05
19,1788968796.867032,A-think-on-default,nemotron-3-nano:30b,200,44,772,772,1,stop,23288.8,0.00018791999999999998
20,1788968802.06918,A-think-on-default,nemotron-3-nano:30b,200,53,265,210,1,stop,26953.9,6.678000000000001e-05
21,1788968806.0470998,A-think-on-default,nemotron-3-nano:30b,200,50,201,201,1,stop,26778.1,5.124e-05
22,1788968807.634203,A-think-on-default,nemotron-3-nano:30b,200,36,73,46,1,stop,25266.6,1.968e-05
23,1788968810.825526,A-think-on-default,nemotron-3-nano:30b,200,39,159,94,1,stop,13956.2,4.05e-05
24,1788968813.8132238,A-think-on-default,nemotron-3-nano:30b,200,45,147,53,1,stop,11742.0,3.7980000000000006e-05
25,1788968821.365216,A-think-on-default,nemotron-3-nano:30b,200,45,395,395,1,stop,15316.5,9.75e-05
26,1788968827.030723,A-think-on-default,nemotron-3-nano:30b,200,45,293,293,1,stop,19394.1,7.302e-05
27,1788968835.864932,A-think-on-default,nemotron-3-nano:30b,200,47,465,361,1,stop,25035.6,0.00011441999999999999
28,1788968841.63202,A-think-on-default,nemotron-3-nano:30b,200,42,299,299,1,stop,27816.3,7.427999999999999e-05
29,1788968845.7397661,A-think-on-default,nemotron-3-nano:30b,200,42,208,205,1,stop,24372.2,5.2440000000000006e-05
30,1788968848.793341,A-think-on-default,nemotron-3-nano:30b,200,45,151,100,1,stop,21760.3,3.894e-05
31,1788968853.134043,A-think-on-default,nemotron-3-nano:30b,200,41,221,167,1,stop,17266.8,5.55e-05
32,1788968855.6223779,A-think-on-default,nemotron-3-nano:30b,200,46,120,76,1,stop,13987.7,3.1559999999999996e-05
33,1788968859.4375281,A-think-on-default,nemotron-3-nano:30b,200,40,193,193,1,stop,13695.2,4.872e-05
34,1788968870.711513,A-think-on-default,nemotron-3-nano:30b,200,42,598,598,1,stop,21915.8,0.00014604
35,1788968876.802909,A-think-on-default,nemotron-3-nano:30b,200,43,316,316,1,stop,23666.5,7.842e-05
36,1788968879.647647,A-think-on-default,nemotron-3-nano:30b,200,53,139,120,1,stop,24022.9,3.654e-05
37,1788968883.9176252,A-think-on-default,nemotron-3-nano:30b,200,42,217,217,1,stop,24477.8,5.46e-05
38,1788968887.244887,A-think-on-default,nemotron-3-nano:30b,200,40,167,126,1,stop,16530.4,4.248e-05
39,1788968889.918626,A-think-on-default,nemotron-3-nano:30b,200,42,131,95,1,stop,13113.2,3.396e-05
40,1788968896.39264,A-think-on-default,nemotron-3-nano:30b,200,39,338,338,1,stop,16741.3,8.345999999999999e-05
41,1788968902.7435431,A-think-on-default,nemotron-3-nano:30b,200,42,331,331,1,stop,18823.7,8.196e-05
42,1788968905.294589,A-think-on-default,nemotron-3-nano:30b,200,46,122,73,1,stop,18047.4,3.204e-05
43,1788968920.594381,A-think-on-default,nemotron-3-nano:30b,200,38,818,818,1,stop,30673.2,0.0001986
44,1788968924.788332,A-think-on-default,nemotron-3-nano:30b,200,46,213,203,1,stop,28393.5,5.387999999999999e-05
45,1788968929.080064,A-think-on-default,nemotron-3-nano:30b,200,40,219,177,1,stop,26334.4,5.4959999999999996e-05
46,1788968934.21575,A-think-on-default,nemotron-3-nano:30b,200,41,265,237,1,stop,28918.7,6.605999999999999e-05
47,1788968938.3986812,A-think-on-default,nemotron-3-nano:30b,200,42,213,135,1,stop,17801.7,5.364e-05
48,1788968946.41429,A-think-on-default,nemotron-3-nano:30b,200,42,421,421,1,stop,21623.4,0.00010355999999999999
49,1788968950.0429702,A-think-on-default,nemotron-3-nano:30b,200,47,182,113,1,stop,20960.4,4.65e-05
50,1788968952.357126,A-think-on-default,nemotron-3-nano:30b,200,47,123,67,1,stop,18138.8,3.234e-05
51,1788968961.3928761,A-think-on-default,nemotron-3-nano:30b,200,45,475,457,1,stop,22990.3,0.0001167
